dataset,build_profile,ef_search,k,topology,mean_recall,recall_delta_vs_1x10m,latency_p50_ms,p50_ratio_vs_1x10m,latency_p95_ms,p95_ratio_vs_1x10m
cohere10m,baseline,100,10,1x10m,0.93904000,+0.00000000,0.702222,1.0000,0.891824,1.0000
cohere10m,baseline,100,100,1x10m,0.80756800,+0.00000000,0.714638,1.0000,0.905781,1.0000
cohere10m,baseline,200,10,1x10m,0.96508000,+0.00000000,1.267460,1.0000,1.571741,1.0000
cohere10m,baseline,200,100,1x10m,0.88384600,+0.00000000,1.281573,1.0000,1.585079,1.0000
cohere10m,baseline,400,10,1x10m,0.98038000,+0.00000000,2.352908,1.0000,2.925187,1.0000
cohere10m,baseline,400,100,1x10m,0.93406200,+0.00000000,2.367290,1.0000,2.938290,1.0000
cohere10m,baseline,800,10,1x10m,0.98972000,+0.00000000,4.429554,1.0000,5.507865,1.0000
cohere10m,baseline,800,100,1x10m,0.96455600,+0.00000000,4.445845,1.0000,5.526020,1.0000
cohere10m,baseline,100,10,2x5m,0.95054000,+0.01150000,1.404674,2.0003,1.732424,1.9426
cohere10m,baseline,100,100,2x5m,0.86406400,+0.05649600,1.430943,2.0023,1.759606,1.9426
cohere10m,baseline,200,10,2x5m,0.97256000,+0.00748000,2.541807,2.0054,3.085748,1.9633
cohere10m,baseline,200,100,2x5m,0.92125600,+0.03741000,2.572172,2.0070,3.116842,1.9664
cohere10m,baseline,400,10,2x5m,0.98518000,+0.00480000,4.716045,2.0043,5.748321,1.9651
cohere10m,baseline,400,100,2x5m,0.95745600,+0.02339400,4.745261,2.0045,5.783739,1.9684
cohere10m,baseline,800,10,2x5m,0.99238000,+0.00266000,8.816607,1.9904,10.792570,1.9595
cohere10m,baseline,800,100,2x5m,0.97835200,+0.01379600,8.850849,1.9908,10.831376,1.9601
cohere10m,baseline,100,10,5x2m,0.96222000,+0.02318000,3.483347,4.9605,4.140207,4.6424
cohere10m,baseline,100,100,5x2m,0.91419400,+0.10662600,3.550578,4.9684,4.211294,4.6494
cohere10m,baseline,200,10,5x2m,0.98104000,+0.01596000,6.292953,4.9650,7.487362,4.7637
cohere10m,baseline,200,100,5x2m,0.95434600,+0.07050000,6.368367,4.9692,7.564609,4.7724
cohere10m,baseline,400,10,5x2m,0.99064000,+0.01026000,11.601525,4.9307,13.905816,4.7538
cohere10m,baseline,400,100,5x2m,0.97737400,+0.04331200,11.678376,4.9332,13.987405,4.7604
cohere10m,baseline,800,10,5x2m,0.99562000,+0.00590000,21.513762,4.8569,25.912373,4.7046
cohere10m,baseline,800,100,5x2m,0.98932000,+0.02476400,21.602045,4.8589,26.012038,4.7072
sift10m,baseline,100,10,1x10m,0.95205000,+0.00000000,0.270015,1.0000,0.317174,1.0000
sift10m,baseline,100,100,1x10m,0.86047100,+0.00000000,0.281478,1.0000,0.330649,1.0000
sift10m,baseline,200,10,1x10m,0.98355000,+0.00000000,0.493351,1.0000,0.579048,1.0000
sift10m,baseline,200,100,1x10m,0.93930000,+0.00000000,0.507209,1.0000,0.594699,1.0000
sift10m,baseline,400,10,1x10m,0.99508000,+0.00000000,0.921288,1.0000,1.088445,1.0000
sift10m,baseline,400,100,1x10m,0.97824500,+0.00000000,0.936914,1.0000,1.107403,1.0000
sift10m,baseline,800,10,1x10m,0.99884000,+0.00000000,1.732894,1.0000,2.071233,1.0000
sift10m,baseline,800,100,1x10m,0.99345800,+0.00000000,1.750908,1.0000,2.089758,1.0000
sift10m,baseline,100,10,2x5m,0.97438000,+0.02233000,0.520395,1.9273,0.607698,1.9160
sift10m,baseline,100,100,2x5m,0.91781700,+0.05734600,0.545175,1.9368,0.634909,1.9202
sift10m,baseline,200,10,2x5m,0.99226000,+0.00871000,0.945749,1.9170,1.114360,1.9245
sift10m,baseline,200,100,2x5m,0.96906600,+0.02976600,0.976396,1.9250,1.146479,1.9278
sift10m,baseline,400,10,2x5m,0.99802000,+0.00294000,1.759749,1.9101,2.092491,1.9225
sift10m,baseline,400,100,2x5m,0.99060500,+0.01236000,1.794180,1.9150,2.129768,1.9232
sift10m,baseline,800,10,2x5m,0.99946000,+0.00062000,3.300816,1.9048,3.974880,1.9191
sift10m,baseline,800,100,2x5m,0.99755900,+0.00410100,3.337987,1.9064,4.009866,1.9188
sift10m,baseline,100,10,5x2m,0.98931000,+0.03726000,1.218932,4.5143,1.426964,4.4990
sift10m,baseline,100,100,5x2m,0.96381200,+0.10334100,1.285074,4.5655,1.496757,4.5267
sift10m,baseline,200,10,5x2m,0.99734000,+0.01379000,2.209216,4.4780,2.623344,4.5304
sift10m,baseline,200,100,5x2m,0.98901800,+0.04971800,2.287997,4.5110,2.703910,4.5467
sift10m,baseline,400,10,5x2m,0.99935000,+0.00427000,4.093961,4.4437,4.925803,4.5255
sift10m,baseline,400,100,5x2m,0.99728000,+0.01903500,4.173565,4.4546,5.013435,4.5272
sift10m,baseline,800,10,5x2m,0.99983000,+0.00099000,7.636334,4.4067,9.268759,4.4750
sift10m,baseline,800,100,5x2m,0.99936800,+0.00591000,7.726386,4.4128,9.360698,4.4793
