experiment_id,dataset,build_profile,topology,ef_search,k,sample_count,mean_recall,perfect_recall_fraction,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms,shard_search_mean_ms,merge_mean_ms
hnswlib-sharding-10m-v1,cohere10m,baseline,1x10m,100,10,25000,0.93904000,0.73100000,0.709231,0.702222,0.891824,1.010132,0.109689,0.699935,0.009296
hnswlib-sharding-10m-v1,cohere10m,baseline,1x10m,100,100,25000,0.80756800,0.02040000,0.722190,0.714638,0.905781,1.036513,0.110496,0.707018,0.015173
hnswlib-sharding-10m-v1,cohere10m,baseline,1x10m,200,10,25000,0.96508000,0.81300000,1.271931,1.267460,1.571741,1.686155,0.181994,1.261963,0.009968
hnswlib-sharding-10m-v1,cohere10m,baseline,1x10m,200,100,25000,0.88384600,0.09500000,1.285771,1.281573,1.585079,1.701811,0.181799,1.269956,0.015815
hnswlib-sharding-10m-v1,cohere10m,baseline,1x10m,400,10,25000,0.98038000,0.88120000,2.361439,2.352908,2.925187,3.077280,0.337931,2.350407,0.011031
hnswlib-sharding-10m-v1,cohere10m,baseline,1x10m,400,100,25000,0.93406200,0.22020000,2.375035,2.367290,2.938290,3.092415,0.337675,2.358046,0.016989
hnswlib-sharding-10m-v1,cohere10m,baseline,1x10m,800,10,25000,0.98972000,0.92640000,4.437289,4.429554,5.507865,5.785878,0.652884,4.424035,0.013254
hnswlib-sharding-10m-v1,cohere10m,baseline,1x10m,800,100,25000,0.96455600,0.36820000,4.453620,4.445845,5.526020,5.797449,0.653795,4.434027,0.019593
hnswlib-sharding-10m-v1,cohere10m,baseline,2x5m,100,10,25000,0.95054000,0.76640000,1.415401,1.404674,1.732424,1.888865,0.184563,1.404243,0.011158
hnswlib-sharding-10m-v1,cohere10m,baseline,2x5m,100,100,25000,0.86406400,0.08480000,1.441551,1.430943,1.759606,1.913852,0.184404,1.415951,0.025600
hnswlib-sharding-10m-v1,cohere10m,baseline,2x5m,200,10,25000,0.97256000,0.84000000,2.548691,2.541807,3.085748,3.246786,0.327902,2.536185,0.012506
hnswlib-sharding-10m-v1,cohere10m,baseline,2x5m,200,100,25000,0.92125600,0.19600000,2.578488,2.572172,3.116842,3.278241,0.328245,2.551450,0.027039
hnswlib-sharding-10m-v1,cohere10m,baseline,2x5m,400,10,25000,0.98518000,0.89800000,4.716762,4.716045,5.748321,6.015456,0.636220,4.701237,0.015525
